crop,farm_area,soil_type,irrigation,season,region,rainfall,temperature,soil_ph,soil_moisture,seed_cost,fertilizer_cost,pesticide_cost,labour_cost,irrigation_cost,machinery_cost,other_cost,previous_yield,farming_experience,yield_per_acre,expected_market_price,total_cost,total_yield,revenue,profit,profit_per_acre
Groundnut,12.01,Clay,Yes,Zaid,North-East,449.0,27.6,7.12,52.3,2146.48,2055.73,1504.45,5031.82,1709.2,2885.57,1110.51,9.77,0,10.25,5614.2,197489.55759999997,123.10249999999999,691122.0554999999,493632.49789999996,41101.79
Wheat,15.37,Sandy,No,Zaid,East,660.8,15.7,6.68,28.2,2092.58,2979.49,1388.87,4682.08,922.19,2006.86,1398.69,16.59,10,13.05,2629.61,237785.58120000002,200.5785,527443.229385,289657.64818499994,18845.650499999996
Cotton,2.88,Alluvial,Yes,Kharif,North-East,1133.1,25.7,7.11,60.7,1675.85,3866.93,1938.14,3228.51,1344.95,2032.61,858.47,4.78,0,6.33,7657.07,43042.9248,18.2304,139591.448928,96548.52412799999,33523.793099999995
Potato,2.26,Loamy,No,Kharif,West,541.3,20.7,5.01,27.8,1393.66,3417.72,2214.76,2706.25,0.0,1110.69,299.92,52.57,9,70.34,1089.0,25183.179999999997,158.9684,173116.5876,147933.4076,65457.26000000001
Groundnut,16.84,Loamy,No,Kharif,Central,584.4,32.8,6.27,20.0,1821.43,4704.54,1108.91,4853.54,0.0,2284.82,960.67,9.93,4,9.23,6639.65,264959.0444,155.4332,1032022.04638,767063.00198,45550.059499999996
Maize,9.44,Alluvial,No,Zaid,South,865.5,23.9,6.3,34.3,1367.4,4280.21,1991.69,4381.98,674.39,3170.61,1623.09,15.8,15,25.12,1719.39,165099.65279999998,237.1328,407723.764992,242624.11219200003,25701.706800000004
Rice,12.88,Red,Yes,Rabi,East,1313.0,22.8,4.93,20.1,1942.4,2826.54,1973.85,4133.63,2357.82,2111.2,1185.75,13.17,1,20.24,2475.47,212921.72720000005,260.6912,645333.2448639999,432411.5176639998,33572.32279999998
Wheat,10.5,Laterite,Yes,Rabi,West,922.5,20.5,7.26,44.3,1766.23,4259.7,1983.27,4242.38,2726.98,1814.8,1280.66,16.95,6,13.96,2514.27,189777.21,146.58,368541.6966,178764.48660000003,17025.189200000004
Cotton,3.5,Clay,Yes,Zaid,North-East,505.7,20.5,4.04,38.5,875.62,3291.87,1849.74,4422.51,2895.4,2206.79,1200.5,6.93,22,5.23,6194.23,58598.505000000005,18.305,113385.38015,54786.87514999999,15653.392899999997
Groundnut,19.81,Loamy,No,Zaid,West,556.9,33.0,5.85,47.5,1123.55,3186.01,2026.17,3090.82,818.74,1676.74,1344.34,10.69,8,8.9,5703.27,262806.7897,176.309,1005537.8304300001,742731.04073,37492.733
Maize,13.16,Black,Yes,Zaid,North-East,681.6,24.0,6.18,32.9,1618.57,4924.55,1756.45,4223.63,2123.24,1380.64,626.66,18.96,12,27.27,1897.91,219163.2184,358.8732,681109.035012,461945.816612,35102.265699999996
Tomato,12.8,Alluvial,No,Kharif,East,377.8,27.5,6.82,28.1,1472.81,3683.43,1350.15,4670.86,0.0,2801.71,1374.38,71.15,4,58.05,1588.54,196522.752,743.04,1180348.7615999999,983826.0095999999,76861.40699999999
Tomato,17.4,Clay,No,Kharif,North-East,710.7,33.0,5.48,20.0,2228.52,2343.77,1159.47,4118.75,239.71,2487.56,1072.5,82.31,9,47.04,1705.26,237514.87199999997,818.4959999999999,1395748.4889599998,1158233.6169599998,66565.1504
Rice,16.14,Clay,Yes,Rabi,North,1394.8,30.8,6.56,24.8,1678.53,2935.38,1158.68,5142.44,2620.82,1631.61,1435.35,14.44,11,20.64,2419.09,267969.35339999996,333.12960000000004,805870.4840640002,537901.1306640003,33327.207600000016
Groundnut,8.33,Laterite,Yes,Kharif,Central,507.4,32.8,5.37,16.0,1375.81,3299.64,1705.04,3497.95,2789.78,2314.7,551.68,10.93,17,8.0,7164.36,129403.218,66.64,477432.9504,348029.7324,41780.28
Potato,11.71,Red,Yes,Zaid,East,188.5,18.8,5.23,67.2,1627.76,2891.67,1888.7,5591.27,2338.1,984.82,994.73,54.73,6,65.69,1226.62,191072.65550000002,769.2299,943552.779938,752480.124438,64259.6178
Maize,18.23,Loamy,Yes,Rabi,South,608.9,9.6,6.71,48.3,2453.04,3794.13,1993.85,4349.76,2908.39,2375.05,1375.52,18.67,3,19.89,2022.24,350922.7602,362.59470000000005,733253.5061280001,382330.7459280001,20972.613600000004
Cotton,13.23,Black,Yes,Kharif,West,585.3,29.6,6.75,56.4,1114.54,2859.39,1699.45,5501.67,2377.47,1381.51,982.91,4.66,0,6.98,5345.52,210581.1162,92.34540000000001,493634.1826080001,283053.06640800013,21394.789600000007
Cotton,8.62,Black,Yes,Zaid,South,696.3,31.5,5.96,44.9,1359.62,2784.4,1751.91,5515.22,1359.63,1102.02,723.13,5.43,6,7.8,6136.12,125816.91660000001,67.23599999999999,412568.1643199999,286751.2477199999,33265.806
Wheat,14.38,Loamy,Yes,Rabi,North,613.1,22.7,6.65,48.3,601.09,4201.22,2393.86,3581.44,1570.08,2059.42,1279.25,12.88,8,16.74,2512.77,225569.8568,240.72119999999998,604877.009724,379307.152924,26377.409799999998
Groundnut,18.42,Clay,Yes,Zaid,North-East,371.6,36.2,7.63,58.6,1999.87,3944.76,2170.01,5073.22,2670.4,929.83,1025.09,9.3,2,6.3,4894.79,328118.77560000005,116.046,568020.8003400001,239902.02474000002,13023.997
Sugarcane,17.86,Sandy,Yes,Kharif,Central,2107.8,27.1,6.66,31.9,2468.11,4758.29,2247.11,4510.3,2624.39,2026.53,939.13,257.57,10,317.87,360.43,349589.1396,5677.1582,2046218.130026,1696628.9904260002,94996.02410000001
Potato,13.44,Alluvial,Yes,Rabi,West,178.4,17.4,6.2,57.7,1637.84,3765.5,2443.67,5489.98,2433.89,1253.48,904.27,52.31,14,63.64,1224.0,240960.7872,855.3216,1046913.6383999999,805952.8511999999,59966.729999999996
Rice,2.33,Clay,Yes,Rabi,West,1312.1,25.0,6.4,48.3,653.34,2196.71,1814.55,4527.83,2441.19,2728.51,198.15,16.5,1,21.36,2524.43,33925.4524,49.7688,125637.85178399998,91712.39938399999,39361.544799999996
Cotton,16.06,Alluvial,No,Zaid,North-East,611.9,35.1,8.84,26.0,1552.42,3755.83,3389.43,5266.16,146.37,2581.4,891.45,7.06,19,4.87,6884.18,282383.9436,78.2122,538426.862996,256042.91939599998,15942.8966
Maize,3.68,Red,Yes,Rabi,East,864.7,13.4,6.6,33.2,1832.41,2560.48,1596.53,3973.61,2476.71,2167.32,697.63,22.66,0,17.72,2258.94,56321.25920000001,65.2096,147304.573824,90983.31462399999,24723.726799999997
Potato,6.25,Laterite,Yes,Zaid,North,481.4,17.9,5.66,56.4,1997.98,3198.06,549.15,2966.41,2083.48,1665.36,877.48,73.58,1,76.11,1107.66,83361.99999999999,475.6875,526900.01625,443538.01625,70966.0826
Rice,6.27,Clay,No,Rabi,West,647.2,28.9,6.28,28.2,989.19,3548.94,1261.88,3823.42,698.52,2333.35,813.35,23.96,17,15.75,2428.57,84448.4355,98.7525,239827.358925,155378.923425,24781.3275
Tomato,5.34,Loamy,Yes,Zaid,East,126.8,21.4,5.69,46.4,1665.52,3337.41,1837.86,4505.42,2724.16,2699.18,1494.22,82.8,4,73.76,1311.42,97528.5318,393.8784,516540.01132800005,419011.47952800005,78466.56920000001
Groundnut,2.82,Black,Yes,Kharif,South,647.6,30.4,6.59,59.4,1653.15,946.11,938.27,4906.59,2738.76,1302.54,786.37,10.06,9,8.36,5484.71,37426.44780000001,23.5752,129303.135192,91876.68739199999,32580.385599999998
Potato,4.63,Sandy,No,Kharif,Central,523.6,13.0,5.42,29.6,1513.84,3302.04,1746.91,4700.81,808.41,1400.17,687.52,53.65,0,64.68,1188.92,65559.41100000001,299.46840000000003,356043.9701280001,290484.55912800005,62739.64560000001
Potato,7.18,Sandy,No,Kharif,East,541.3,21.7,5.76,37.6,1848.22,4535.49,2697.19,5683.33,445.13,2211.63,1230.05,75.2,0,59.74,1241.6,133914.46719999998,428.9332,532563.46112,398648.99392000004,55522.14400000001
Maize,8.46,Red,Yes,Kharif,West,921.2,25.0,6.31,53.0,2076.92,3149.48,972.45,3559.46,1989.48,2031.3,917.84,22.2,5,23.7,1766.08,124336.0278,200.502,354102.57216,229766.54436,27159.165999999997
Maize,11.07,Sandy,Yes,Zaid,North-East,180.9,22.8,4.04,45.4,1299.86,3839.61,1536.04,4498.75,2993.07,1665.34,1241.7,19.99,7,15.26,2092.19,189013.2759,168.9282,353429.890758,164416.61485800002,14852.449400000001
Sugarcane,7.02,Laterite,Yes,Zaid,East,1113.4,24.3,6.93,33.5,3478.05,2535.88,2536.01,4634.86,2705.59,2071.01,1133.42,310.63,10,338.21,362.51,134045.6364,2374.2342,860683.639842,726638.003442,103509.68710000001
Potato,0.65,Clay,Yes,Kharif,North-East,307.0,20.3,6.51,44.1,1134.85,3658.75,2459.51,7028.29,2206.71,2861.18,1073.13,50.67,6,52.47,1103.91,13274.573000000002,34.1055,37649.402505000005,24374.829505,37499.7377
Wheat,2.68,Black,No,Rabi,North-East,252.7,23.3,6.58,22.8,1990.52,4605.43,2047.28,5376.3,1120.98,2678.06,1184.23,15.9,8,12.02,2056.15,50927.50400000001,32.2136,66235.99364,15308.489639999993,5712.122999999997
Sugarcane,16.51,Red,No,Kharif,Central,2086.6,31.2,7.69,26.7,2953.47,3247.11,1976.02,3610.24,725.16,2001.87,775.06,336.86,1,183.5,378.05,252420.2343,3029.5850000000005,1145334.6092500002,892914.3749500002,54083.24500000001
Maize,3.36,Sandy,Yes,Zaid,Central,183.7,19.6,5.76,36.8,1514.89,3437.84,1801.9,6046.92,1340.19,799.07,837.05,20.88,16,17.69,2180.3,53013.6096,59.4384,129593.54352000002,76579.93392000001,22791.647000000004
Sugarcane,16.55,Alluvial,Yes,Rabi,South,1582.8,31.8,6.72,38.3,1519.65,2507.62,1206.46,4173.07,2372.7,1095.6,704.45,265.03,12,415.79,396.33,224741.55250000002,6881.324500000001,2727275.339085,2502533.786585,151210.50069999998
Maize,12.23,Sandy,Yes,Rabi,North,234.8,24.3,5.1,44.0,1666.99,2575.66,2227.34,3779.81,2816.43,1993.62,587.08,20.84,0,18.32,2244.56,191361.9539,224.05360000000002,502901.74841600005,311539.7945160001,25473.409200000006
Sugarcane,9.78,Black,Yes,Zaid,North-East,1384.5,30.8,8.05,68.5,1970.98,3159.66,2010.11,4407.84,2174.72,1595.47,786.3,331.86,0,288.04,334.36,157507.68239999996,2817.0312,941902.552032,784394.8696320001,80203.97440000002
Maize,17.82,Black,Yes,Zaid,West,557.3,9.1,4.76,23.3,2016.23,3787.69,2191.28,3689.19,2761.98,2437.23,827.01,18.21,0,15.33,2052.4,315603.0702,273.1806,560675.8634400001,245072.7932400001,13752.682000000004
Groundnut,10.13,Black,Yes,Zaid,North-East,85.9,26.4,6.46,35.5,2010.79,2799.1,2641.79,4022.12,3022.44,2040.79,876.36,9.3,8,10.0,6773.79,176397.64070000002,101.30000000000001,686184.927,509787.28630000004,50324.51
Sugarcane,9.51,Red,Yes,Kharif,East,1635.9,23.4,6.0,54.3,2538.97,4057.04,1576.42,4455.4,2442.25,1498.37,1198.62,214.57,7,366.79,370.18,168964.8357,3488.1729,1291251.844122,1122287.008422,118011.25220000002
Groundnut,18.52,Alluvial,Yes,Rabi,North-East,459.7,26.1,5.72,64.4,694.36,4057.09,1830.23,4725.4,1836.8,1986.06,1601.05,8.4,10,9.66,6126.32,309857.93479999993,178.9032,1096018.252224,786160.317424,42449.2612
Potato,10.96,Black,Yes,Rabi,Central,652.2,10.1,5.04,31.1,1801.54,3324.23,559.65,3603.22,3116.45,333.2,895.74,66.72,2,63.84,1118.0,149428.96880000003,699.6864,782249.3952,632820.4264,57739.09
Wheat,17.55,Clay,Yes,Kharif,South,554.3,21.9,5.61,59.3,1591.51,4177.23,1946.47,3069.99,2438.1,2445.22,436.6,15.59,3,13.29,2133.73,282644.856,233.2395,497670.118335,215025.26233499998,12252.151699999999
Wheat,2.07,Red,No,Kharif,Central,748.0,33.6,6.63,20.4,2423.94,3728.79,1433.86,5324.34,445.43,1848.27,1168.68,10.58,10,9.2,2669.72,33892.7517,19.043999999999997,50842.14767999999,16949.395979999987,8188.113999999994
Rice,18.36,Clay,Yes,Zaid,North,1052.3,25.7,5.9,56.0,1049.2,4430.04,2422.82,5363.63,1742.62,2497.47,1121.46,15.48,0,24.02,2475.83,341996.12639999995,441.00719999999995,1091858.855976,749862.729576,40842.1966
Groundnut,18.03,Clay,Yes,Kharif,West,931.6,32.1,4.0,41.2,1065.37,3735.48,1342.09,3895.28,3238.7,1674.47,1138.66,9.02,7,6.96,5887.89,290103.60150000005,125.48880000000001,738864.2506320002,448760.6491320001,24889.664400000005
Sugarcane,19.56,Black,No,Rabi,West,2032.1,25.4,6.34,24.1,2496.48,3859.24,1590.58,6506.76,0.0,2756.56,1410.37,294.21,4,268.55,337.68,364207.0043999999,5252.838,1773778.3358399998,1409571.3314399999,72063.974
Cotton,15.53,Laterite,Yes,Rabi,North-East,643.5,30.0,8.4,47.2,1798.2,3310.35,1335.51,3718.63,1682.27,2142.17,974.97,6.74,2,6.65,5557.84,232361.413,103.2745,573983.14708,341621.73408,21997.536000000004
Rice,1.8,Laterite,Yes,Rabi,East,699.4,34.2,6.08,48.5,1369.78,3856.93,1747.39,4144.28,3233.59,1931.47,1689.88,16.96,21,15.43,2436.29,32351.976,27.774,67665.51846,35313.54246000001,19618.634700000006
Cotton,7.73,Sandy,No,Zaid,Central,824.1,32.9,7.04,14.6,1950.02,3490.61,669.79,4328.32,418.6,3257.6,562.86,4.43,0,5.38,6430.71,113459.39400000001,41.5874,267436.509054,153977.115054,19919.4198
Cotton,15.33,Red,No,Kharif,West,910.0,24.0,7.88,13.5,1250.98,2749.81,1623.19,3506.41,661.4,1309.95,1213.59,5.31,9,5.86,6360.7,188794.0089,89.83380000000001,571405.85166,382611.84276,24958.372000000003
Maize,9.62,Black,Yes,Rabi,East,884.7,12.4,5.96,69.0,701.01,2322.37,1905.15,3856.61,3156.01,1810.9,419.64,17.13,8,21.17,2018.0,136331.6578,203.6554,410976.59719999996,274644.9394,28549.37
Cotton,9.49,Loamy,No,Zaid,North-East,1023.6,27.1,4.87,37.4,2303.5,2828.4,2174.61,2981.39,34.87,2909.82,921.73,7.21,11,4.38,6317.15,134324.4968,41.5662,262579.92033,128255.42353,13514.797
Potato,7.22,Black,No,Zaid,West,355.4,20.8,5.78,11.2,1248.65,2989.97,2185.77,5228.21,427.09,1764.78,1041.98,76.73,3,48.83,1235.83,107480.169,352.5526,435695.079658,328214.910658,45459.128899999996
Cotton,5.66,Black,No,Zaid,South,897.0,20.1,7.03,27.4,1511.77,4220.15,692.91,4811.15,1094.81,1908.18,1165.06,5.14,10,4.99,5688.78,87186.8098,28.2434,160670.489052,73483.67925199999,12982.982199999997
Maize,4.31,Clay,Yes,Kharif,East,627.0,16.7,4.73,42.9,1595.44,4604.44,1266.2,4450.56,3066.34,2758.72,573.47,25.51,3,18.76,1867.3,78938.3827,80.8556,150981.66188,72043.27918,16715.378
Wheat,16.15,Red,No,Kharif,Central,664.8,18.7,6.77,30.9,1629.61,2967.87,2088.7,4541.9,880.93,2705.3,1057.73,16.32,3,12.41,2370.46,256333.44599999994,200.42149999999998,475091.14888999995,218757.70289000002,13545.368600000002
Rice,6.46,Black,No,Rabi,North,900.9,27.7,6.19,33.4,1418.49,2470.22,2051.52,2327.3,824.2,1104.74,1016.04,20.78,14,17.68,2279.18,72432.81459999998,114.2128,260311.52950399998,187878.714904,29083.3924
Sugarcane,5.31,Red,No,Zaid,Central,1741.3,25.1,6.31,11.2,3454.78,2729.91,1748.67,6118.46,1095.69,1582.27,1067.19,358.02,10,285.69,397.98,94501.91069999998,1517.0139,603741.191922,509239.281222,95901.93620000001
Tomato,17.73,Clay,No,Rabi,East,651.3,21.9,5.17,41.9,1089.84,3123.53,2414.21,3924.45,820.11,1677.01,1074.38,82.35,10,58.2,1445.37,250410.18689999997,1031.886,1491457.0678199998,1241046.88092,69997.00399999999
Sugarcane,17.4,Alluvial,Yes,Rabi,Central,1260.7,20.8,6.83,39.4,2302.64,3598.99,637.31,4713.14,3451.45,1727.94,1077.94,245.97,22,334.31,310.2,304663.7339999999,5816.994,1804431.5387999997,1499767.8047999998,86193.552
Sugarcane,3.25,Clay,Yes,Kharif,East,1044.3,27.6,6.03,38.7,2234.92,4846.06,2363.68,4587.84,2029.73,1682.44,1021.98,258.5,11,315.89,362.53,60991.612499999996,1026.6425,372188.70552499994,311197.09302499995,95752.95169999999
Maize,9.22,Sandy,No,Rabi,West,996.9,16.8,5.83,20.2,975.28,3969.86,1412.67,3980.7,656.91,1704.95,1267.86,18.75,8,16.76,2014.32,128787.08060000002,154.52720000000002,311267.22950400005,182480.14890400003,19791.773200000003
Rice,11.31,Red,Yes,Zaid,West,1815.6,38.3,5.38,45.8,1079.25,3399.0,1191.64,5257.91,2041.12,3685.74,864.58,18.38,0,9.36,2207.9,198142.60439999998,105.8616,233731.82664,35589.22224000003,3146.704000000003
Tomato,10.09,Laterite,No,Kharif,West,597.4,17.4,7.32,39.7,1985.15,4276.42,1003.99,4771.4,1007.76,1005.0,997.63,66.03,8,59.91,1380.6,151827.7615,604.4919,834561.5171399999,682733.7556399999,67664.396
Tomato,3.51,Clay,Yes,Zaid,North,423.2,20.8,6.27,50.3,1690.81,3499.61,1819.85,5364.66,1523.59,815.7,1082.14,69.34,6,74.38,1324.62,55445.2236,261.07379999999995,345823.5769559999,290378.3533559999,82728.87559999998
Potato,10.77,Sandy,No,Zaid,North-East,453.1,7.5,6.04,44.7,2123.53,2886.72,1686.77,5172.54,528.71,1329.6,1124.38,77.68,11,53.16,1260.8,159958.73249999998,572.5332,721849.85856,561891.1260599999,52171.878
Tomato,7.0,Sandy,No,Rabi,East,417.9,23.1,6.92,12.0,1346.18,3962.96,1479.23,4708.15,350.33,2403.27,1142.54,62.38,0,63.54,1463.24,107748.62,444.78,650819.8872,543071.2672,77581.6096
Rice,9.17,Clay,Yes,Kharif,North,809.5,34.1,7.02,48.5,1594.23,4110.35,1519.1,3945.43,1902.82,1361.32,451.48,15.59,8,17.93,2195.64,136492.9741,164.4181,361002.957084,224509.982984,24483.0952
Sugarcane,7.37,Red,Yes,Zaid,South,1294.4,27.5,4.89,48.2,2909.81,2951.77,1231.54,2559.58,2366.79,1651.04,534.69,290.63,1,328.67,330.61,104692.47140000002,2422.2979,800835.908719,696143.437319,94456.3687
Wheat,18.63,Clay,Yes,Rabi,North-East,570.7,23.1,5.87,45.4,1703.93,3886.3,341.42,5571.28,976.18,1630.37,1307.6,18.18,8,15.74,1910.02,287220.2004,293.2362,560087.006724,272866.806324,14646.634800000002
Potato,9.71,Alluvial,No,Zaid,Central,490.1,12.0,5.09,17.8,1154.73,4405.46,1124.95,5943.81,483.35,1302.84,796.82,45.86,13,56.81,1203.36,147708.13160000002,551.6251000000001,663803.5803360001,516095.44873600005,53150.9216
Rice,3.44,Black,No,Kharif,Central,551.0,23.2,5.47,19.5,1238.41,3650.71,1287.74,5317.26,0.0,1828.18,824.18,20.13,20,11.55,2368.29,48663.8912,39.732,94096.89828,45433.007079999996,13207.269499999999
Maize,1.42,Alluvial,No,Kharif,North,814.4,24.5,5.61,39.6,963.86,4038.9,853.41,4695.55,1287.54,2293.2,1051.19,17.95,6,26.36,2156.8,21560.783000000003,37.4312,80731.61216,59170.82916,41669.598000000005
Sugarcane,10.55,Laterite,Yes,Kharif,West,1154.8,23.0,5.41,49.7,2656.8,3712.69,1754.23,4022.26,3607.08,1728.83,800.24,230.49,11,295.69,358.37,192876.4715,3119.5295,1117945.786915,925069.3154150001,87684.2953
Sugarcane,9.32,Red,Yes,Kharif,North-East,2035.0,30.1,5.49,66.3,2235.88,3907.3,2038.3,4513.21,2105.01,2077.96,979.06,231.2,11,291.18,366.26,166424.63040000002,2713.7976000000003,993955.5089760001,827530.8785760001,88790.8668
Wheat,10.85,Black,Yes,Rabi,North-East,894.4,17.5,7.33,40.2,1102.52,3706.21,2261.32,5094.03,3458.22,1541.94,586.26,11.83,8,17.56,2717.31,192592.92499999996,190.52599999999998,517718.20505999995,325125.28006,29965.463600000003
Maize,1.26,Black,Yes,Kharif,North-East,419.3,32.0,8.57,49.4,1062.84,2487.1,2661.18,4745.58,2689.84,1814.59,948.14,21.65,11,15.83,2019.65,20675.680200000003,19.945800000000002,40283.53497000001,19607.854770000005,15561.789500000004
Rice,2.61,Loamy,Yes,Rabi,South,488.0,25.7,6.25,29.6,1662.91,3770.94,1223.16,4642.6,3011.2,2466.24,971.41,14.0,7,17.66,2109.81,46323.4806,46.0926,97246.62840599999,50923.147805999986,19510.784599999995
Rice,17.96,Clay,No,Kharif,Central,1494.8,27.5,6.83,40.4,814.21,3000.33,2185.94,4248.29,243.97,2840.53,685.81,15.88,3,18.0,1879.14,251782.67680000002,323.28000000000003,607488.3792000001,355705.70240000007,19805.440000000002
Groundnut,5.67,Red,Yes,Zaid,North,710.1,24.7,6.25,46.3,1176.35,3547.37,1785.99,4673.86,3603.26,1685.74,1126.69,9.74,9,12.56,6630.96,99787.80419999998,71.2152,472225.14259199996,372437.33839199995,65685.5976
Potato,16.84,Loamy,No,Kharif,Central,436.7,19.2,6.09,33.8,1657.7,2996.36,1452.87,3651.59,968.28,1781.37,1038.21,54.94,15,84.93,1172.48,228121.03920000003,1430.2212000000002,1676905.7525760003,1448784.7133760003,86032.34640000002
Cotton,4.13,Alluvial,No,Rabi,North-East,789.8,24.0,7.68,21.1,1742.0,4373.05,3206.32,2961.7,130.81,1630.29,744.75,5.91,4,6.34,6456.94,61078.23959999999,26.184199999999997,169069.80834799996,107991.56874799996,26148.07959999999
Maize,14.25,Black,Yes,Rabi,North-East,887.1,28.6,5.66,70.5,1506.93,3414.74,1565.79,6309.83,2774.49,2435.66,720.68,14.44,9,21.28,1863.8,266875.71,303.24,565178.712,298303.00200000004,20933.544
Potato,12.73,Red,Yes,Kharif,South,461.3,13.9,5.12,42.9,1317.54,3806.36,2105.42,4109.22,2895.2,2587.75,1387.51,71.66,8,70.91,1006.98,231800.57,902.6843,908985.036414,677184.4664139999,53195.95179999999
Rice,14.61,Alluvial,Yes,Zaid,Central,665.2,27.5,5.59,46.0,1731.71,5030.1,1938.64,4936.57,1961.22,1227.86,1474.85,21.13,3,20.23,1825.59,267376.8794999999,295.5603,539571.928077,272195.04857700004,18630.735700000005
Cotton,6.2,Loamy,Yes,Zaid,Central,1031.9,24.0,5.61,56.3,1478.12,4315.97,1281.71,4423.93,2837.57,571.24,1310.14,3.98,10,5.38,6371.46,100555.81599999999,33.356,212526.41976000002,111970.60376000003,18059.774800000003
Tomato,19.9,Laterite,No,Kharif,West,373.4,23.7,6.16,35.7,1317.81,3791.46,1254.78,5068.15,954.2,2076.12,100.0,59.13,12,60.48,1424.42,289794.148,1203.552,1714363.53984,1424569.39184,71586.4016
Wheat,7.85,Sandy,Yes,Rabi,East,848.6,21.4,7.17,49.4,1678.66,4299.04,2401.35,4116.06,3082.47,2556.65,1771.76,14.33,12,14.6,2569.25,156262.02149999997,114.60999999999999,294461.74249999993,138199.72099999996,17605.059999999998
Maize,5.08,Alluvial,No,Zaid,North,632.6,27.2,5.56,53.2,1611.7,4458.15,1827.97,4946.51,683.17,1827.03,1121.49,25.28,8,23.3,1833.09,83698.1816,118.364,216971.86476,133273.68316000002,26234.977000000003
